case_id,task,resource,start_time,completion_time
Intervention Loaded1119,Intervention Loaded,,2020-01-01 00:11:11.400000,2020-01-01 00:11:11.400000
Intervention Loaded49,Generate Discrepancy,dhs-4,2020-01-01 00:09:47.957219,2020-01-01 00:11:11.693964
Intervention Loaded1120,Intervention Loaded,,2020-01-01 00:11:12.000000,2020-01-01 00:11:12.000000
Intervention Loaded50,Generate Discrepancy,dhs-5,2020-01-01 00:09:48.557219,2020-01-01 00:11:12.293964
Intervention Loaded1121,Intervention Loaded,,2020-01-01 00:11:12.600000,2020-01-01 00:11:12.600000
Intervention Loaded1122,Intervention Loaded,,2020-01-01 00:11:13.200000,2020-01-01 00:11:13.200000
Intervention Loaded1123,Intervention Loaded,,2020-01-01 00:11:13.800000,2020-01-01 00:11:13.800000
Intervention Loaded1124,Intervention Loaded,,2020-01-01 00:11:14.400000,2020-01-01 00:11:14.400000
Intervention Loaded1125,Intervention Loaded,,2020-01-01 00:11:15.000000,2020-01-01 00:11:15.000000
Intervention Loaded1126,Intervention Loaded,,2020-01-01 00:11:15.600000,2020-01-01 00:11:15.600000
Intervention Loaded1127,Intervention Loaded,,2020-01-01 00:11:16.200000,2020-01-01 00:11:16.200000
Intervention Loaded1128,Intervention Loaded,,2020-01-01 00:11:16.800000,2020-01-01 00:11:16.800000
Intervention Loaded1129,Intervention Loaded,,2020-01-01 00:11:17.400000,2020-01-01 00:11:17.400000
Intervention Loaded1130,Intervention Loaded,,2020-01-01 00:11:18.000000,2020-01-01 00:11:18.000000
Intervention Loaded1131,Intervention Loaded,,2020-01-01 00:11:18.600000,2020-01-01 00:11:18.600000
Intervention Loaded1132,Intervention Loaded,,2020-01-01 00:11:19.200000,2020-01-01 00:11:19.200000
Intervention Loaded1133,Intervention Loaded,,2020-01-01 00:11:19.800000,2020-01-01 00:11:19.800000
Intervention Loaded1134,Intervention Loaded,,2020-01-01 00:11:20.400000,2020-01-01 00:11:20.400000
Intervention Loaded1135,Intervention Loaded,,2020-01-01 00:11:21.000000,2020-01-01 00:11:21.000000
Intervention Loaded1136,Intervention Loaded,,2020-01-01 00:11:21.600000,2020-01-01 00:11:21.600000
Intervention Loaded1137,Intervention Loaded,,2020-01-01 00:11:22.200000,2020-01-01 00:11:22.200000
Intervention Loaded1138,Intervention Loaded,,2020-01-01 00:11:22.800000,2020-01-01 00:11:22.800000
Intervention Loaded1139,Intervention Loaded,,2020-01-01 00:11:23.400000,2020-01-01 00:11:23.400000
Intervention Loaded1140,Intervention Loaded,,2020-01-01 00:11:24.000000,2020-01-01 00:11:24.000000
Intervention Loaded1141,Intervention Loaded,,2020-01-01 00:11:24.600000,2020-01-01 00:11:24.600000
Intervention Loaded1142,Intervention Loaded,,2020-01-01 00:11:25.200000,2020-01-01 00:11:25.200000
Intervention Loaded1143,Intervention Loaded,,2020-01-01 00:11:25.800000,2020-01-01 00:11:25.800000
Intervention Loaded1144,Intervention Loaded,,2020-01-01 00:11:26.400000,2020-01-01 00:11:26.400000
Intervention Loaded1145,Intervention Loaded,,2020-01-01 00:11:27.000000,2020-01-01 00:11:27.000000
Intervention Loaded1146,Intervention Loaded,,2020-01-01 00:11:27.600000,2020-01-01 00:11:27.600000
Intervention Loaded1147,Intervention Loaded,,2020-01-01 00:11:28.200000,2020-01-01 00:11:28.200000
